dataset_size,algorithm,run_1_ms,run_2_ms,run_3_ms,run_4_ms,run_5_ms,average_ms
1000,Bubble Sort,41.45491699455306,40.30187500757165,40.135832998203114,40.51125000114553,40.125542000168934,40.50588340032846
1000,Heap Sort,2.2031249973224476,2.1645410015480593,2.167582992115058,2.17762500687968,2.1672500006388873,2.1760247997008264
5000,Bubble Sort,1161.7395419889363,1123.4329590079142,1116.634707999765,1112.9620840074494,1136.64658300695,1130.283175202203
5000,Heap Sort,13.74737499281764,15.436832996783778,14.449374997639097,14.071124998736195,13.8083329948131,14.302608196157962
15000,Bubble Sort,10468.20375000243,10100.692917010747,10052.778249999392,10293.664666998666,10110.804500000086,10205.228816802264
15000,Heap Sort,52.41487499733921,58.51966699992772,50.04862499481533,49.10683298658114,52.085999996052124,52.435199994943105
20000,Bubble Sort,18810.452040997916,18244.909583008848,18067.97541701235,18447.039459002553,18183.3050409914,18350.736308202613
20000,Heap Sort,66.65170899941586,73.02500000514556,70.35854199784808,71.49483299872372,73.14070800202899,70.93415840063244
25000,Bubble Sort,29825.164167006733,28779.051082994556,28157.11645799456,28207.2059159982,28179.67729200609,28629.64298320003
25000,Heap Sort,88.00787500513252,86.39829099411145,88.10383299714886,93.44566699292045,85.83275000273716,88.35768319841009
30000,Bubble Sort,42549.02541699994,42213.33699999377,41442.96145900444,40935.34750000981,40719.7039169987,41572.07505860133
30000,Heap Sort,119.3068749998929,113.74983300629538,118.60945899388753,122.0592079916969,116.8542920058826,118.11593339953106
35000,Bubble Sort,59205.23016700463,55712.409707994084,55585.96837500227,55615.445125004044,55571.53695898887,56338.11806679878
35000,Heap Sort,141.47799999045674,133.13374998688232,133.39187500241678,125.42733299778774,125.56745800247882,131.79968319600448
40000,Bubble Sort,75761.99883299705,72817.39933299832,102571.77916700311,74617.48920800164,71713.0884169892,79496.35099159786
40000,Heap Sort,148.27958299429156,146.4182079944294,168.1935410015285,158.7460419978015,146.64616600202862,153.65670799801592
